order_id,product_id,quantity,unit_price
O001,P001,1,85000
O001,P002,2,1500
O002,P004,1,12000
O002,P009,2,2500
O003,P003,1,4500
O003,P007,1,15000
O004,P005,1,25000
O005,P006,2,3000
O005,P010,1,5000
O006,P008,1,22000
O007,P001,1,85000
O007,P012,3,1200
O008,P007,2,15000
O009,P004,1,12000
O009,P009,2,2500
O010,P010,2,5000
O011,P002,3,1500
O011,P003,1,4500
O012,P005,1,25000
O013,P008,1,22000
O014,P011,5,800
O015,P001,1,85000
O015,P006,1,3000
O016,P007,1,15000
O016,P002,2,1500
O017,P003,2,4500
O017,P012,2,1200
O018,P005,1,25000
O018,P009,1,2500
O019,P010,1,5000
O019,P007,1,15000
O020,P004,1,12000
O020,P006,2,3000
