order_id,customer_id,order_date,status
O001,C001,2025-01-20,Completed
O002,C002,2025-02-25,Completed
O003,C003,2025-03-15,Completed
O004,C004,2025-04-02,Completed
O005,C005,2025-04-18,Completed
O006,C006,2025-05-20,Completed
O007,C007,2025-06-10,Completed
O008,C008,2025-07-05,Completed
O009,C009,2025-07-20,Completed
O010,C010,2025-08-30,Completed
O011,C011,2025-09-15,Completed
O012,C012,2025-10-20,Completed
O013,C013,2025-11-10,Completed
O014,C014,2025-11-25,Completed
O015,C015,2025-12-10,Completed
O016,C001,2025-12-15,Completed
O017,C003,2025-12-18,Completed
O018,C005,2025-12-20,Completed
O019,C008,2025-12-22,Completed
O020,C011,2025-12-25,Completed
